player_id,player_name,ERA,FIP,WHIP,K9,BB9,HR9,KBB,QS,GS,year
13080,김시훈,4.53,5.13256,1.57,6.205,4.947,0.587,1.2542000000000002,3.0,18.0,2024
13085,신민혁,4.31,5.27791,1.29,5.504,1.19,1.488,4.625,10.0,24.0,2024
13092,김선기,5.54,6.35914,1.59,5.07,3.537,1.533,1.4333,1.0,6.0,2024
13156,최채흥,6.3,6.78163,1.8,6.3,5.4,1.8,1.1667,0.0,1.0,2024
13167,김민,4.31,3.67042,1.44,8.961,3.142,0.582,2.8519,0.0,1.0,2024
13245,이상규,5.63,5.48163,1.69,7.594,4.219,1.406,1.8,0.0,3.0,2024
13268,김호준,8.78,6.15913,1.95,4.05,2.7000000000000006,0.6750000000000002,1.5,0.0,1.0,2024
13934,켈리,4.51,4.94776,1.37,5.463,1.979,1.029,2.76,11.0,19.0,2024
13940,요키시,5.72,5.50027,1.81,7.322,4.576,1.144,1.6,2.0,8.0,2024
13941,알칸타라,4.76,5.95391,1.24,4.756,3.078,1.399,1.5455,5.0,12.0,2024
13942,쿠에바스,4.1,4.32221,1.25,7.996000000000001,3.063,0.883,2.6102,19.0,31.0,2024
14111,이선우,5.4,5.15163,1.4,3.6,3.6,0.0,1.0,0.0,1.0,2024
14113,원태인,3.66,4.61743,1.2,6.707999999999999,2.367,0.958,2.8333,13.0,28.0,2024
14128,김도현,4.92,5.39963,1.5699999999999998,7.08,3.72,1.08,1.9032,1.0,10.0,2024
14132,조영건,8.01,6.11044,1.91,7.092999999999999,5.492,1.602,1.2917,0.0,3.0,2024
14135,이상영,3.31,6.08673,1.41,4.408,4.408,0.551,1.0,0.0,3.0,2024
14142,임준형,6.59,5.234070000000001,1.46,8.561,2.634,1.317,3.25,0.0,1.0,2024
14143,이지강,4.53,5.19312,1.62,6.539999999999999,4.36,0.8389999999999999,1.5,0.0,2.0,2024
14163,박진,4.38,4.26609,1.44,6.385,2.007,0.73,3.1818,1.0,3.0,2024
14480,김인범,5.4,6.82742,1.67,3.837,4.405,1.279,0.871,0.0,14.0,2024
14576,이종민,7.629999999999999,7.31407,1.79,4.328,4.534,1.855,0.9545,0.0,9.0,2024
14581,오원석,5.03,5.6182,1.54,8.285,4.808,1.258,1.7231,2.0,25.0,2024
14588,김윤식,12.0,4.46496,2.67,3.0,3.0,0.0,1.0,0.0,1.0,2024
14615,황동재,4.07,4.68877,1.33,6.429,3.857,0.429,1.6667,0.0,6.0,2024
14616,이승민,8.56,8.49712,2.05,4.373,4.944,2.662,0.8846,0.0,8.0,2024
14625,홍민기,12.27,5.486170000000001,2.45,4.909,2.455,0.0,2.0,0.0,1.0,2024
14667,성재헌,7.31,4.941,1.94,5.625,4.5,0.281,1.25,0.0,1.0,2024
14763,이용준,6.68,5.494,1.66,6.95,3.743,1.337,1.8571,1.0,9.0,2024
14769,김동주,6.84,5.50963,1.76,6.3,3.78,1.08,1.6667,0.0,9.0,2024
14770,최승용,6.0,5.76126,1.63,7.0,2.333,2.0,3.0,1.0,6.0,2024
14776,한차현,9.95,7.53163,2.47,8.053,8.526,1.895,0.9444,0.0,5.0,2024
14780,강효종,20.25,16.6066,3.75,13.5,20.25,6.75,0.6667,0.0,1.0,2024
14788,이의리,5.400000000000001,7.64413,2.33,9.45,9.45,2.025,1.0,0.0,4.0,2024
14792,김진욱,5.31,5.26627,1.5699999999999996,9.248,4.677,1.382,1.9773,3.0,18.0,2024
